,complete,volume,time,b_o,b_h,b_l,b_c,a_o,a_h,a_l,a_c
0,True,1,2019-10-31 00:00:15+00:00,1.11529,1.11529,1.11529,1.11529,1.11542,1.11542,1.11542,1.11542
1,True,1,2019-10-31 00:00:45+00:00,1.1152799999999998,1.1152799999999998,1.1152799999999998,1.1152799999999998,1.11544,1.11544,1.11544,1.11544
2,True,1,2019-10-31 00:01:15+00:00,1.11529,1.11529,1.11529,1.11529,1.11543,1.11543,1.11543,1.11543
3,True,3,2019-10-31 00:02:00+00:00,1.11532,1.11533,1.1152799999999998,1.11533,1.11545,1.11545,1.11544,1.11544
4,True,1,2019-10-31 00:02:30+00:00,1.11544,1.11544,1.11544,1.11544,1.1155899999999999,1.1155899999999999,1.1155899999999999,1.1155899999999999
5,True,1,2019-10-31 00:03:00+00:00,1.11542,1.11542,1.11542,1.11542,1.11556,1.11556,1.11556,1.11556
6,True,1,2019-10-31 00:03:45+00:00,1.11541,1.11541,1.11541,1.11541,1.11553,1.11553,1.11553,1.11553
7,True,2,2019-10-31 00:05:15+00:00,1.11538,1.11538,1.1153600000000001,1.1153600000000001,1.11552,1.11552,1.1155,1.1155
8,True,2,2019-10-31 00:06:15+00:00,1.11538,1.11541,1.11538,1.11541,1.11552,1.11555,1.11552,1.11555
9,True,1,2019-10-31 00:06:45+00:00,1.1154700000000002,1.1154700000000002,1.1154700000000002,1.1154700000000002,1.1156,1.1156,1.1156,1.1156
10,True,7,2019-10-31 00:07:15+00:00,1.11552,1.11554,1.1154899999999999,1.11551,1.11565,1.11568,1.11563,1.11565
11,True,2,2019-10-31 00:08:00+00:00,1.1154899999999999,1.1154899999999999,1.1154700000000002,1.1154700000000002,1.11563,1.11563,1.1156,1.1156
12,True,2,2019-10-31 00:08:30+00:00,1.11543,1.1154600000000001,1.11543,1.1154600000000001,1.11556,1.11558,1.11556,1.11558
13,True,1,2019-10-31 00:09:00+00:00,1.11548,1.11548,1.11548,1.11548,1.11562,1.11562,1.11562,1.11562
14,True,1,2019-10-31 00:10:00+00:00,1.11553,1.11553,1.11553,1.11553,1.1156700000000002,1.1156700000000002,1.1156700000000002,1.1156700000000002
15,True,1,2019-10-31 00:10:30+00:00,1.11556,1.11556,1.11556,1.11556,1.11568,1.11568,1.11568,1.11568
16,True,1,2019-10-31 00:11:30+00:00,1.11555,1.11555,1.11555,1.11555,1.11569,1.11569,1.11569,1.11569
17,True,4,2019-10-31 00:12:15+00:00,1.1155700000000002,1.11561,1.11556,1.11561,1.1157299999999999,1.11575,1.1157,1.11575
18,True,1,2019-10-31 00:13:00+00:00,1.11561,1.11561,1.11561,1.11561,1.11575,1.11575,1.11575,1.11575
19,True,1,2019-10-31 00:14:00+00:00,1.11563,1.11563,1.11563,1.11563,1.1157700000000002,1.1157700000000002,1.1157700000000002,1.1157700000000002
20,True,3,2019-10-31 00:14:30+00:00,1.11563,1.11563,1.1155700000000002,1.1155700000000002,1.11576,1.11576,1.1157299999999999,1.1157299999999999
21,True,2,2019-10-31 00:15:00+00:00,1.1157,1.1157,1.11568,1.11568,1.1158299999999999,1.1158299999999999,1.11581,1.11581
22,True,1,2019-10-31 00:15:45+00:00,1.11562,1.11562,1.11562,1.11562,1.11576,1.11576,1.11576,1.11576
23,True,1,2019-10-31 00:16:30+00:00,1.11562,1.11562,1.11562,1.11562,1.11575,1.11575,1.11575,1.11575
24,True,3,2019-10-31 00:17:45+00:00,1.11563,1.11568,1.11563,1.11568,1.11576,1.11581,1.11576,1.11581
25,True,1,2019-10-31 00:18:30+00:00,1.11568,1.11568,1.11568,1.11568,1.11581,1.11581,1.11581,1.11581
26,True,1,2019-10-31 00:19:30+00:00,1.11572,1.11572,1.11572,1.11572,1.11586,1.11586,1.11586,1.11586
27,True,3,2019-10-31 00:21:45+00:00,1.11569,1.11572,1.11569,1.1157,1.1158299999999999,1.11585,1.11582,1.11582
28,True,3,2019-10-31 00:23:00+00:00,1.11564,1.1156700000000002,1.11564,1.11564,1.11578,1.1158,1.1157700000000002,1.1157700000000002
29,True,3,2019-10-31 00:23:30+00:00,1.11564,1.11564,1.11562,1.11564,1.1157700000000002,1.1157700000000002,1.11574,1.1157700000000002
