time,a_c,a_h,a_l,a_o,b_c,b_h,b_l,b_o,complete,volume
2019-09-18T10:00:00.000000000Z,1.10527,1.10529,1.10485,1.10495,1.10514,1.10516,1.10473,1.10482,True,236
2019-09-18T10:15:00.000000000Z,1.10477,1.10524,1.10477,1.10524,1.10465,1.10512,1.10465,1.10512,True,139
2019-09-18T10:30:00.000000000Z,1.10468,1.10484,1.10450,1.10474,1.10457,1.10472,1.10438,1.10463,True,211
2019-09-18T10:45:00.000000000Z,1.10445,1.10473,1.10437,1.10466,1.10433,1.10461,1.10425,1.10454,True,155
2019-09-18T11:00:00.000000000Z,1.10428,1.10458,1.10418,1.10442,1.10416,1.10445,1.10406,1.10431,True,158
2019-09-18T11:15:00.000000000Z,1.10440,1.10483,1.10409,1.10431,1.10428,1.10472,1.10397,1.10418,True,204
2019-09-18T11:30:00.000000000Z,1.10479,1.10487,1.10437,1.10442,1.10467,1.10473,1.10426,1.10431,True,174
2019-09-18T11:45:00.000000000Z,1.10521,1.10529,1.10479,1.10481,1.10509,1.10517,1.10467,1.10469,True,221
2019-09-18T12:00:00.000000000Z,1.10534,1.10552,1.10516,1.10524,1.10522,1.10540,1.10504,1.10512,True,165
2019-09-18T12:15:00.000000000Z,1.10545,1.10548,1.10528,1.10537,1.10532,1.10534,1.10516,1.10525,True,117
2019-09-18T12:30:00.000000000Z,1.10554,1.10582,1.10529,1.10545,1.10543,1.10570,1.10516,1.10528,True,189
2019-09-18T12:45:00.000000000Z,1.10572,1.10576,1.10541,1.10552,1.10559,1.10564,1.10530,1.10540,True,124
2019-09-18T13:00:00.000000000Z,1.10610,1.10617,1.10554,1.10570,1.10597,1.10605,1.10542,1.10557,True,255
2019-09-18T13:15:00.000000000Z,1.10556,1.10613,1.10553,1.10613,1.10542,1.10601,1.10540,1.10598,True,220
2019-09-18T13:30:00.000000000Z,1.10533,1.10560,1.10518,1.10558,1.10521,1.10548,1.10506,1.10545,True,216
